Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C2_CNN_LSTM_pfxf,MzLegZegrzyn,1,3.5227,5.5453,0.7728,0.568,0.9361
C2_CNN_LSTM_pfxf,MzLegZegrzyn,2,3.7423,6.0401,0.7294,0.1033,0.9204
C2_CNN_LSTM_pfxf,MzLegZegrzyn,3,4.0415,6.5402,0.6822,0.1576,0.9051
C2_CNN_LSTM_pfxf,MzLegZegrzyn,4,4.4769,7.0746,0.6266,1.0392,0.8952
C2_CNN_LSTM_pfxf,MzLegZegrzyn,5,4.6241,7.2665,0.6045,0.9674,0.8881
C2_CNN_LSTM_pfxf,MzLegZegrzyn,6,4.8702,7.6471,0.5614,1.3612,0.8807
C2_CNN_LSTM_pfxf,MzLegZegrzyn,7,4.8386,7.6367,0.5606,1.0536,0.8777
C2_CNN_LSTM_pfxf,MzLegZegrzyn,8,4.9653,7.8268,0.5375,1.3802,0.8754
C2_CNN_LSTM_pfxf,MzLegZegrzyn,9,4.9302,7.8156,0.5396,1.1982,0.8731
C2_CNN_LSTM_pfxf,MzLegZegrzyn,10,4.987,7.8628,0.5345,1.3591,0.8729
C2_CNN_LSTM_pfxf,MzLegZegrzyn,11,5.0355,7.8927,0.5317,1.4616,0.8715
C2_CNN_LSTM_pfxf,MzLegZegrzyn,12,4.9436,7.7944,0.545,1.1656,0.8718
C2_CNN_LSTM_pfxf,MzLegZegrzyn,13,4.959,7.8374,0.5406,1.1421,0.8692
C2_CNN_LSTM_pfxf,MzLegZegrzyn,14,4.8614,7.7062,0.5567,0.8938,0.8696
C2_CNN_LSTM_pfxf,MzLegZegrzyn,15,4.8502,7.6703,0.5621,0.8932,0.8701
C2_CNN_LSTM_pfxf,MzLegZegrzyn,16,5.0235,7.8401,0.5424,1.3172,0.8685
C2_CNN_LSTM_pfxf,MzLegZegrzyn,17,5.2726,8.165,0.5038,1.8983,0.8632
C2_CNN_LSTM_pfxf,MzLegZegrzyn,18,5.0775,7.9106,0.5349,1.4707,0.8657
C2_CNN_LSTM_pfxf,MzLegZegrzyn,19,5.2022,8.0983,0.5159,1.7459,0.8628
C2_CNN_LSTM_pfxf,MzLegZegrzyn,20,5.237,8.1115,0.5155,1.8401,0.8625
C2_CNN_LSTM_pfxf,MzLegZegrzyn,21,5.2456,8.1253,0.5162,1.8213,0.862
C2_CNN_LSTM_pfxf,MzLegZegrzyn,22,5.2207,8.1297,0.5162,1.7877,0.8603
C2_CNN_LSTM_pfxf,MzLegZegrzyn,23,5.2678,8.1737,0.5114,1.9063,0.8615
C2_CNN_LSTM_pfxf,MzLegZegrzyn,24,5.3402,8.2627,0.5016,2.0827,0.8613
