Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzLegZegrzyn,1,3.6398,6.5178,0.706,-1.0784,0.8894
C3_GNN_LSTM_pfxf,MzLegZegrzyn,2,3.9859,6.9882,0.6595,-0.8967,0.8695
C3_GNN_LSTM_pfxf,MzLegZegrzyn,3,4.3232,7.4992,0.6065,-0.9271,0.8425
C3_GNN_LSTM_pfxf,MzLegZegrzyn,4,4.5977,7.8127,0.5706,-0.6884,0.8256
C3_GNN_LSTM_pfxf,MzLegZegrzyn,5,4.7912,7.9158,0.5569,-0.3867,0.8199
C3_GNN_LSTM_pfxf,MzLegZegrzyn,6,4.9543,8.0568,0.5399,-0.1498,0.814
C3_GNN_LSTM_pfxf,MzLegZegrzyn,7,5.0905,8.114,0.5293,0.0922,0.8135
C3_GNN_LSTM_pfxf,MzLegZegrzyn,8,5.1591,8.136,0.5221,0.1898,0.8147
C3_GNN_LSTM_pfxf,MzLegZegrzyn,9,5.2273,8.1921,0.5143,0.3599,0.8163
C3_GNN_LSTM_pfxf,MzLegZegrzyn,10,5.1541,8.2675,0.508,0.0274,0.8095
C3_GNN_LSTM_pfxf,MzLegZegrzyn,11,5.0749,8.2925,0.5048,-0.235,0.8056
C3_GNN_LSTM_pfxf,MzLegZegrzyn,12,5.0928,8.3492,0.4997,-0.2803,0.8024
C3_GNN_LSTM_pfxf,MzLegZegrzyn,13,5.0412,8.2909,0.505,-0.4617,0.8016
C3_GNN_LSTM_pfxf,MzLegZegrzyn,14,4.9824,8.1755,0.5196,-0.6879,0.8067
C3_GNN_LSTM_pfxf,MzLegZegrzyn,15,4.9268,8.1242,0.5256,-0.8463,0.8071
C3_GNN_LSTM_pfxf,MzLegZegrzyn,16,4.9095,8.0189,0.5385,-0.6762,0.8173
C3_GNN_LSTM_pfxf,MzLegZegrzyn,17,4.8662,7.865,0.5552,-0.5923,0.8248
C3_GNN_LSTM_pfxf,MzLegZegrzyn,18,4.8035,7.7348,0.57,-0.5802,0.832
C3_GNN_LSTM_pfxf,MzLegZegrzyn,19,4.8057,7.6277,0.5839,-0.2364,0.8428
C3_GNN_LSTM_pfxf,MzLegZegrzyn,20,4.7738,7.6657,0.5803,-0.3934,0.8386
C3_GNN_LSTM_pfxf,MzLegZegrzyn,21,4.7392,7.7307,0.5746,-0.5806,0.8342
C3_GNN_LSTM_pfxf,MzLegZegrzyn,22,4.7407,7.6906,0.5796,-0.3628,0.8402
C3_GNN_LSTM_pfxf,MzLegZegrzyn,23,4.7863,7.7364,0.5749,-0.2372,0.8396
C3_GNN_LSTM_pfxf,MzLegZegrzyn,24,4.8303,7.7879,0.57,-0.1902,0.8356
