Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_Stacking_pfxf,MzLegZegrzyn,1,1.7597,3.7191,0.8994,0.1528,0.9741
C3_Stacking_pfxf,MzLegZegrzyn,2,2.6853,5.2264,0.801,0.3841,0.9489
C3_Stacking_pfxf,MzLegZegrzyn,3,3.3071,5.9696,0.7403,0.5243,0.9309
C3_Stacking_pfxf,MzLegZegrzyn,4,3.7369,6.624,0.6796,0.6516,0.9135
C3_Stacking_pfxf,MzLegZegrzyn,5,4.043,6.8289,0.6587,0.7799,0.9065
C3_Stacking_pfxf,MzLegZegrzyn,6,4.2956,7.2926,0.6108,0.9144,0.8942
C3_Stacking_pfxf,MzLegZegrzyn,7,4.4959,7.5399,0.5827,1.0236,0.8844
C3_Stacking_pfxf,MzLegZegrzyn,8,4.6164,7.508,0.5859,1.1324,0.8833
C3_Stacking_pfxf,MzLegZegrzyn,9,4.7121,7.5923,0.5778,1.1862,0.8793
C3_Stacking_pfxf,MzLegZegrzyn,10,4.9033,7.9911,0.533,1.42,0.8696
C3_Stacking_pfxf,MzLegZegrzyn,11,5.0404,8.2311,0.5056,1.5911,0.8638
C3_Stacking_pfxf,MzLegZegrzyn,12,5.1162,8.1784,0.5138,1.6147,0.8619
C3_Stacking_pfxf,MzLegZegrzyn,13,5.2649,8.4357,0.4835,1.8437,0.8597
C3_Stacking_pfxf,MzLegZegrzyn,14,5.2918,8.5429,0.4714,1.7859,0.8528
C3_Stacking_pfxf,MzLegZegrzyn,15,5.4309,9.0471,0.4092,1.9133,0.838
C3_Stacking_pfxf,MzLegZegrzyn,16,5.2852,8.5139,0.4768,1.8483,0.8538
C3_Stacking_pfxf,MzLegZegrzyn,17,5.3719,8.6097,0.4653,1.9959,0.8549
C3_Stacking_pfxf,MzLegZegrzyn,18,5.3453,8.3957,0.4899,1.9147,0.859
C3_Stacking_pfxf,MzLegZegrzyn,19,5.3553,8.4988,0.4779,1.9632,0.8573
C3_Stacking_pfxf,MzLegZegrzyn,20,5.3509,8.5137,0.4765,1.8619,0.8545
C3_Stacking_pfxf,MzLegZegrzyn,21,5.4167,8.6112,0.4656,1.9872,0.8537
C3_Stacking_pfxf,MzLegZegrzyn,22,5.4251,8.6613,0.459,1.8716,0.8464
C3_Stacking_pfxf,MzLegZegrzyn,23,5.4584,8.8041,0.4409,1.875,0.8408
C3_Stacking_pfxf,MzLegZegrzyn,24,5.4048,8.7775,0.4443,1.9129,0.8442
