Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,1,3.9801,7.5117,0.7187,0.5632,0.9141
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,2,4.7711,8.6247,0.6273,1.5242,0.8929
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,3,5.595,10.1241,0.4853,2.3207,0.8615
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,4,6.0816,11.0553,0.3849,2.5833,0.8394
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,5,6.491,11.7961,0.2985,3.0169,0.8248
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,6,6.7299,12.0354,0.2659,3.2976,0.8189
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,7,6.6442,11.7296,0.2985,3.0348,0.8184
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,8,6.7604,11.792,0.2877,3.2665,0.8187
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,9,6.6254,11.3778,0.3366,2.9165,0.8207
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,10,6.5757,11.1543,0.3629,2.8494,0.8244
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,11,6.3329,10.7326,0.4111,2.4659,0.8299
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,12,6.1356,10.4917,0.4383,2.1897,0.8381
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,13,6.2356,10.6362,0.4223,2.561,0.8439
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,14,6.0303,10.371,0.4515,2.3021,0.8546
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,15,5.9448,10.312,0.4598,2.1947,0.8608
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,16,5.8049,10.1301,0.48,1.9722,0.8666
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,17,5.991,10.7208,0.4161,2.3262,0.86
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,18,5.9656,10.8092,0.4037,2.2142,0.8575
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,19,6.1592,11.2239,0.3546,2.6933,0.8538
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,20,6.3581,11.6207,0.3069,3.1058,0.8526
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,21,6.4286,11.9807,0.2644,3.2595,0.8508
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,22,6.35,12.084,0.2502,3.1454,0.8513
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,23,6.514,12.6255,0.1808,3.4764,0.8468
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,24,6.7114,13.0719,0.1247,3.7662,0.841
