Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_Stacking_pfxf,MzOtwoBrzozo,1,2.1625,4.1443,0.9124,0.4091,0.9778
C3_Stacking_pfxf,MzOtwoBrzozo,2,3.6119,6.2412,0.8012,1.1146,0.9484
C3_Stacking_pfxf,MzOtwoBrzozo,3,4.7137,7.5528,0.709,1.7547,0.9217
C3_Stacking_pfxf,MzOtwoBrzozo,4,5.4202,8.4332,0.637,2.0951,0.8961
C3_Stacking_pfxf,MzOtwoBrzozo,5,6.0024,9.0218,0.5841,2.4436,0.8763
C3_Stacking_pfxf,MzOtwoBrzozo,6,6.5164,9.507,0.5366,3.0195,0.8646
C3_Stacking_pfxf,MzOtwoBrzozo,7,6.9086,9.9096,0.4934,3.3322,0.8505
C3_Stacking_pfxf,MzOtwoBrzozo,8,7.1343,10.2235,0.4591,3.4601,0.8414
C3_Stacking_pfxf,MzOtwoBrzozo,9,7.2949,10.3047,0.4513,3.5069,0.8403
C3_Stacking_pfxf,MzOtwoBrzozo,10,7.5104,10.5194,0.4288,3.6896,0.8305
C3_Stacking_pfxf,MzOtwoBrzozo,11,7.6114,10.6122,0.4189,3.7472,0.8273
C3_Stacking_pfxf,MzOtwoBrzozo,12,7.6775,10.7408,0.4062,3.7126,0.8186
C3_Stacking_pfxf,MzOtwoBrzozo,13,7.7253,10.8109,0.3987,3.6442,0.8116
C3_Stacking_pfxf,MzOtwoBrzozo,14,7.8849,10.9496,0.385,3.9527,0.8084
C3_Stacking_pfxf,MzOtwoBrzozo,15,7.9125,10.9866,0.3837,3.9576,0.8081
C3_Stacking_pfxf,MzOtwoBrzozo,16,7.9086,11.0013,0.384,3.9241,0.8058
C3_Stacking_pfxf,MzOtwoBrzozo,17,7.927,11.0685,0.3753,3.8843,0.7984
C3_Stacking_pfxf,MzOtwoBrzozo,18,7.9742,11.0242,0.3769,4.0022,0.803
C3_Stacking_pfxf,MzOtwoBrzozo,19,7.7638,10.8366,0.3957,3.7808,0.8093
C3_Stacking_pfxf,MzOtwoBrzozo,20,7.6676,10.7318,0.4075,3.7401,0.8141
C3_Stacking_pfxf,MzOtwoBrzozo,21,7.5938,10.6965,0.4149,3.6991,0.817
C3_Stacking_pfxf,MzOtwoBrzozo,22,7.5972,10.7758,0.4086,3.7104,0.8108
C3_Stacking_pfxf,MzOtwoBrzozo,23,7.5043,10.8237,0.4023,3.5552,0.8068
C3_Stacking_pfxf,MzOtwoBrzozo,24,7.5351,10.9385,0.3904,3.5351,0.8028
