Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,1,3.9051,7.6175,0.7318,-1.4762,0.8984
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,2,4.2704,8.3167,0.6789,-1.3164,0.8745
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,3,4.603,8.9745,0.625,-1.3563,0.8467
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,4,4.8807,9.4123,0.5868,-1.1407,0.8268
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,5,5.0985,9.6782,0.5626,-0.8303,0.8141
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,6,5.2478,9.8083,0.549,-0.5599,0.8083
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,7,5.3732,9.8831,0.5389,-0.3023,0.8066
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,8,5.4142,9.9186,0.5333,-0.1878,0.8074
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,9,5.4944,10.0023,0.5248,-0.0288,0.8062
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,10,5.399,10.0027,0.5252,-0.3882,0.8017
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,11,5.3546,10.1247,0.515,-0.6687,0.7938
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,12,5.3394,10.0776,0.5202,-0.7359,0.7946
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,13,5.2982,10.0828,0.5182,-0.9637,0.7901
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,14,5.2268,9.9311,0.5314,-1.2008,0.7969
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,15,5.2246,10.0453,0.5202,-1.3619,0.7886
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,16,5.2626,10.0026,0.524,-1.1847,0.7943
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,17,5.2551,9.966,0.526,-1.117,0.795
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,18,5.205,9.9009,0.5287,-1.1191,0.7967
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,19,5.2101,9.774,0.5374,-0.7327,0.806
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,20,5.1574,9.8167,0.5317,-0.8868,0.8008
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,21,5.1031,9.8502,0.5297,-1.0952,0.7981
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,22,5.0483,9.6128,0.5534,-0.8592,0.8137
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,23,5.0722,9.5804,0.5574,-0.7466,0.8168
C3_GNN_LSTM_pfxf,MzOtwoBrzozo,24,5.084,9.6054,0.5561,-0.7263,0.8138
C3_Stacking_pfxf,MzOtwoBrzozo,1,2.1625,4.1443,0.9124,0.4091,0.9778
C3_Stacking_pfxf,MzOtwoBrzozo,2,3.6119,6.2412,0.8012,1.1146,0.9484
C3_Stacking_pfxf,MzOtwoBrzozo,3,4.7137,7.5528,0.709,1.7547,0.9217
C3_Stacking_pfxf,MzOtwoBrzozo,4,5.4202,8.4332,0.637,2.0951,0.8961
C3_Stacking_pfxf,MzOtwoBrzozo,5,6.0024,9.0218,0.5841,2.4436,0.8763
C3_Stacking_pfxf,MzOtwoBrzozo,6,6.5164,9.507,0.5366,3.0195,0.8646
C3_Stacking_pfxf,MzOtwoBrzozo,7,6.9086,9.9096,0.4934,3.3322,0.8505
C3_Stacking_pfxf,MzOtwoBrzozo,8,7.1343,10.2235,0.4591,3.4601,0.8414
C3_Stacking_pfxf,MzOtwoBrzozo,9,7.2949,10.3047,0.4513,3.5069,0.8403
C3_Stacking_pfxf,MzOtwoBrzozo,10,7.5104,10.5194,0.4288,3.6896,0.8305
C3_Stacking_pfxf,MzOtwoBrzozo,11,7.6114,10.6122,0.4189,3.7472,0.8273
C3_Stacking_pfxf,MzOtwoBrzozo,12,7.6775,10.7408,0.4062,3.7126,0.8186
C3_Stacking_pfxf,MzOtwoBrzozo,13,7.7253,10.8109,0.3987,3.6442,0.8116
C3_Stacking_pfxf,MzOtwoBrzozo,14,7.8849,10.9496,0.385,3.9527,0.8084
C3_Stacking_pfxf,MzOtwoBrzozo,15,7.9125,10.9866,0.3837,3.9576,0.8081
C3_Stacking_pfxf,MzOtwoBrzozo,16,7.9086,11.0013,0.384,3.9241,0.8058
C3_Stacking_pfxf,MzOtwoBrzozo,17,7.927,11.0685,0.3753,3.8843,0.7984
C3_Stacking_pfxf,MzOtwoBrzozo,18,7.9742,11.0242,0.3769,4.0022,0.803
C3_Stacking_pfxf,MzOtwoBrzozo,19,7.7638,10.8366,0.3957,3.7808,0.8093
C3_Stacking_pfxf,MzOtwoBrzozo,20,7.6676,10.7318,0.4075,3.7401,0.8141
C3_Stacking_pfxf,MzOtwoBrzozo,21,7.5938,10.6965,0.4149,3.6991,0.817
C3_Stacking_pfxf,MzOtwoBrzozo,22,7.5972,10.7758,0.4086,3.7104,0.8108
C3_Stacking_pfxf,MzOtwoBrzozo,23,7.5043,10.8237,0.4023,3.5552,0.8068
C3_Stacking_pfxf,MzOtwoBrzozo,24,7.5351,10.9385,0.3904,3.5351,0.8028
