Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzPiasPulask,1,3.2062,5.0477,0.7466,-0.7574,0.9128
C3_GNN_LSTM_pfxf,MzPiasPulask,2,3.5008,5.4941,0.6986,-0.5673,0.8946
C3_GNN_LSTM_pfxf,MzPiasPulask,3,3.7687,5.8384,0.6571,-0.5775,0.8762
C3_GNN_LSTM_pfxf,MzPiasPulask,4,3.9906,6.1211,0.6216,-0.3407,0.8623
C3_GNN_LSTM_pfxf,MzPiasPulask,5,4.178,6.2682,0.5994,-0.0334,0.8549
C3_GNN_LSTM_pfxf,MzPiasPulask,6,4.329,6.3752,0.5812,0.212,0.8501
C3_GNN_LSTM_pfxf,MzPiasPulask,7,4.5056,6.5712,0.5554,0.4266,0.8431
C3_GNN_LSTM_pfxf,MzPiasPulask,8,4.5899,6.6753,0.5409,0.4991,0.8405
C3_GNN_LSTM_pfxf,MzPiasPulask,9,4.6784,6.7746,0.5258,0.655,0.8388
C3_GNN_LSTM_pfxf,MzPiasPulask,10,4.5906,6.7553,0.5335,0.3051,0.8366
C3_GNN_LSTM_pfxf,MzPiasPulask,11,4.5085,6.7108,0.5415,0.0388,0.837
C3_GNN_LSTM_pfxf,MzPiasPulask,12,4.5015,6.6987,0.5442,-0.0103,0.8373
C3_GNN_LSTM_pfxf,MzPiasPulask,13,4.4519,6.6589,0.551,-0.1975,0.8365
C3_GNN_LSTM_pfxf,MzPiasPulask,14,4.407,6.6083,0.5578,-0.4291,0.8377
C3_GNN_LSTM_pfxf,MzPiasPulask,15,4.3562,6.5715,0.562,-0.5807,0.8373
C3_GNN_LSTM_pfxf,MzPiasPulask,16,4.3557,6.5161,0.5698,-0.409,0.8454
C3_GNN_LSTM_pfxf,MzPiasPulask,17,4.3452,6.4829,0.5737,-0.318,0.8473
C3_GNN_LSTM_pfxf,MzPiasPulask,18,4.3258,6.4704,0.5747,-0.3122,0.8486
C3_GNN_LSTM_pfxf,MzPiasPulask,19,4.3434,6.4432,0.5779,0.0593,0.8556
C3_GNN_LSTM_pfxf,MzPiasPulask,20,4.3161,6.4166,0.5812,-0.0881,0.8547
C3_GNN_LSTM_pfxf,MzPiasPulask,21,4.2785,6.3889,0.5851,-0.263,0.8547
C3_GNN_LSTM_pfxf,MzPiasPulask,22,4.2647,6.3262,0.5939,-0.0429,0.8624
C3_GNN_LSTM_pfxf,MzPiasPulask,23,4.3168,6.3858,0.5875,0.0841,0.8614
C3_GNN_LSTM_pfxf,MzPiasPulask,24,4.319,6.3833,0.5881,0.1358,0.8599
