Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzPiasPulask,1,3.2062,5.0477,0.7466,-0.7574,0.9128
C3_GNN_LSTM_pfxf,MzPiasPulask,2,3.5008,5.4941,0.6986,-0.5673,0.8946
C3_GNN_LSTM_pfxf,MzPiasPulask,3,3.7687,5.8384,0.6571,-0.5775,0.8762
C3_GNN_LSTM_pfxf,MzPiasPulask,4,3.9906,6.1211,0.6216,-0.3407,0.8623
C3_GNN_LSTM_pfxf,MzPiasPulask,5,4.178,6.2682,0.5994,-0.0334,0.8549
C3_GNN_LSTM_pfxf,MzPiasPulask,6,4.329,6.3752,0.5812,0.212,0.8501
C3_GNN_LSTM_pfxf,MzPiasPulask,7,4.5056,6.5712,0.5554,0.4266,0.8431
C3_GNN_LSTM_pfxf,MzPiasPulask,8,4.5899,6.6753,0.5409,0.4991,0.8405
C3_GNN_LSTM_pfxf,MzPiasPulask,9,4.6784,6.7746,0.5258,0.655,0.8388
C3_GNN_LSTM_pfxf,MzPiasPulask,10,4.5906,6.7553,0.5335,0.3051,0.8366
C3_GNN_LSTM_pfxf,MzPiasPulask,11,4.5085,6.7108,0.5415,0.0388,0.837
C3_GNN_LSTM_pfxf,MzPiasPulask,12,4.5015,6.6987,0.5442,-0.0103,0.8373
C3_GNN_LSTM_pfxf,MzPiasPulask,13,4.4519,6.6589,0.551,-0.1975,0.8365
C3_GNN_LSTM_pfxf,MzPiasPulask,14,4.407,6.6083,0.5578,-0.4291,0.8377
C3_GNN_LSTM_pfxf,MzPiasPulask,15,4.3562,6.5715,0.562,-0.5807,0.8373
C3_GNN_LSTM_pfxf,MzPiasPulask,16,4.3557,6.5161,0.5698,-0.409,0.8454
C3_GNN_LSTM_pfxf,MzPiasPulask,17,4.3452,6.4829,0.5737,-0.318,0.8473
C3_GNN_LSTM_pfxf,MzPiasPulask,18,4.3258,6.4704,0.5747,-0.3122,0.8486
C3_GNN_LSTM_pfxf,MzPiasPulask,19,4.3434,6.4432,0.5779,0.0593,0.8556
C3_GNN_LSTM_pfxf,MzPiasPulask,20,4.3161,6.4166,0.5812,-0.0881,0.8547
C3_GNN_LSTM_pfxf,MzPiasPulask,21,4.2785,6.3889,0.5851,-0.263,0.8547
C3_GNN_LSTM_pfxf,MzPiasPulask,22,4.2647,6.3262,0.5939,-0.0429,0.8624
C3_GNN_LSTM_pfxf,MzPiasPulask,23,4.3168,6.3858,0.5875,0.0841,0.8614
C3_GNN_LSTM_pfxf,MzPiasPulask,24,4.319,6.3833,0.5881,0.1358,0.8599
C3_Stacking_pfxf,MzPiasPulask,1,1.7004,2.9163,0.9123,0.4268,0.9772
C3_Stacking_pfxf,MzPiasPulask,2,2.7358,4.166,0.8209,0.8947,0.952
C3_Stacking_pfxf,MzPiasPulask,3,3.4259,4.9375,0.7473,1.2745,0.9314
C3_Stacking_pfxf,MzPiasPulask,4,3.9848,5.5781,0.6758,1.6817,0.9121
C3_Stacking_pfxf,MzPiasPulask,5,4.4355,6.1066,0.609,1.9954,0.8917
C3_Stacking_pfxf,MzPiasPulask,6,4.7485,6.4287,0.564,2.2432,0.8818
C3_Stacking_pfxf,MzPiasPulask,7,4.9804,6.7114,0.5259,2.4524,0.872
C3_Stacking_pfxf,MzPiasPulask,8,5.227,7.0096,0.4845,2.7313,0.8634
C3_Stacking_pfxf,MzPiasPulask,9,5.5012,7.2835,0.4431,3.0769,0.8547
C3_Stacking_pfxf,MzPiasPulask,10,5.6127,7.3855,0.4277,3.0852,0.8486
C3_Stacking_pfxf,MzPiasPulask,11,5.7833,7.5733,0.3998,3.1756,0.8395
C3_Stacking_pfxf,MzPiasPulask,12,5.8362,7.663,0.3876,3.217,0.8321
C3_Stacking_pfxf,MzPiasPulask,13,5.9237,7.759,0.3739,3.3643,0.83
C3_Stacking_pfxf,MzPiasPulask,14,5.9792,7.8246,0.365,3.4213,0.828
C3_Stacking_pfxf,MzPiasPulask,15,6.0085,7.8883,0.3551,3.4598,0.8268
C3_Stacking_pfxf,MzPiasPulask,16,6.0167,7.8476,0.3619,3.4704,0.8252
C3_Stacking_pfxf,MzPiasPulask,17,5.9856,7.83,0.365,3.4665,0.8239
C3_Stacking_pfxf,MzPiasPulask,18,6.0847,7.9494,0.3456,3.563,0.8196
C3_Stacking_pfxf,MzPiasPulask,19,6.0451,7.9055,0.3532,3.5631,0.8221
C3_Stacking_pfxf,MzPiasPulask,20,6.0657,7.9212,0.3507,3.7216,0.8228
C3_Stacking_pfxf,MzPiasPulask,21,5.9819,7.8695,0.3592,3.5599,0.8224
C3_Stacking_pfxf,MzPiasPulask,22,5.9388,7.8049,0.3693,3.5664,0.8261
C3_Stacking_pfxf,MzPiasPulask,23,5.8646,7.7428,0.3785,3.2873,0.8215
C3_Stacking_pfxf,MzPiasPulask,24,5.8704,7.8026,0.368,3.2351,0.8199
