Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C2_CNN_LSTM_pfxf,MzWarAlNiepo,1,2.9441,4.4425,0.7825,-1.0495,0.9289
C2_CNN_LSTM_pfxf,MzWarAlNiepo,2,3.1965,4.8096,0.7443,-0.7341,0.916
C2_CNN_LSTM_pfxf,MzWarAlNiepo,3,3.5035,5.2613,0.6933,-0.5582,0.8977
C2_CNN_LSTM_pfxf,MzWarAlNiepo,4,3.7476,5.6033,0.651,-0.4436,0.8836
C2_CNN_LSTM_pfxf,MzWarAlNiepo,5,3.9489,5.863,0.6166,-0.2767,0.872
C2_CNN_LSTM_pfxf,MzWarAlNiepo,6,4.1627,6.0903,0.5853,0.13,0.8647
C2_CNN_LSTM_pfxf,MzWarAlNiepo,7,4.1908,6.1601,0.5748,-0.1767,0.8579
C2_CNN_LSTM_pfxf,MzWarAlNiepo,8,4.2707,6.2731,0.5583,-0.1434,0.8551
C2_CNN_LSTM_pfxf,MzWarAlNiepo,9,4.3357,6.3288,0.5499,0.015,0.8534
C2_CNN_LSTM_pfxf,MzWarAlNiepo,10,4.3382,6.3872,0.5409,-0.2583,0.8472
C2_CNN_LSTM_pfxf,MzWarAlNiepo,11,4.3461,6.3985,0.5393,-0.3511,0.8471
C2_CNN_LSTM_pfxf,MzWarAlNiepo,12,4.3477,6.381,0.5419,-0.0886,0.8525
C2_CNN_LSTM_pfxf,MzWarAlNiepo,13,4.3409,6.3794,0.5423,-0.1078,0.8529
C2_CNN_LSTM_pfxf,MzWarAlNiepo,14,4.3966,6.458,0.5318,0.126,0.8536
C2_CNN_LSTM_pfxf,MzWarAlNiepo,15,4.4709,6.5634,0.5168,0.4154,0.8542
C2_CNN_LSTM_pfxf,MzWarAlNiepo,16,4.5097,6.5985,0.5117,0.641,0.856
C2_CNN_LSTM_pfxf,MzWarAlNiepo,17,4.4613,6.588,0.5128,0.2077,0.8515
C2_CNN_LSTM_pfxf,MzWarAlNiepo,18,4.4305,6.5973,0.5107,-0.0967,0.8496
C2_CNN_LSTM_pfxf,MzWarAlNiepo,19,4.4996,6.6745,0.4983,0.1813,0.8493
C2_CNN_LSTM_pfxf,MzWarAlNiepo,20,4.5362,6.7393,0.4878,0.2185,0.8472
C2_CNN_LSTM_pfxf,MzWarAlNiepo,21,4.6113,6.8452,0.4717,0.5661,0.8458
C2_CNN_LSTM_pfxf,MzWarAlNiepo,22,4.555,6.779,0.4823,0.3433,0.8472
C2_CNN_LSTM_pfxf,MzWarAlNiepo,23,4.5814,6.7896,0.4813,0.5642,0.8464
C2_CNN_LSTM_pfxf,MzWarAlNiepo,24,4.6322,6.8311,0.4767,0.5909,0.842
