Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzWarAlNiepo,1,3.5602,5.5331,0.6802,-1.1029,0.8811
C3_GNN_LSTM_pfxf,MzWarAlNiepo,2,3.8703,5.9542,0.628,-0.8697,0.8594
C3_GNN_LSTM_pfxf,MzWarAlNiepo,3,4.1881,6.4117,0.5673,-0.8959,0.8319
C3_GNN_LSTM_pfxf,MzWarAlNiepo,4,4.4411,6.7126,0.5236,-0.6184,0.8162
C3_GNN_LSTM_pfxf,MzWarAlNiepo,5,4.7049,6.9746,0.4842,-0.2245,0.8024
C3_GNN_LSTM_pfxf,MzWarAlNiepo,6,4.9015,7.1755,0.4523,0.0485,0.7932
C3_GNN_LSTM_pfxf,MzWarAlNiepo,7,5.1021,7.3906,0.4185,0.3578,0.7859
C3_GNN_LSTM_pfxf,MzWarAlNiepo,8,5.1745,7.4768,0.4034,0.4193,0.7847
C3_GNN_LSTM_pfxf,MzWarAlNiepo,9,5.2389,7.5316,0.3925,0.6194,0.7856
C3_GNN_LSTM_pfxf,MzWarAlNiepo,10,5.1068,7.418,0.4082,0.2188,0.787
C3_GNN_LSTM_pfxf,MzWarAlNiepo,11,4.9943,7.2963,0.4269,-0.0436,0.7917
C3_GNN_LSTM_pfxf,MzWarAlNiepo,12,4.9838,7.2862,0.4282,-0.1453,0.7916
C3_GNN_LSTM_pfxf,MzWarAlNiepo,13,4.9287,7.2348,0.4358,-0.3299,0.7911
C3_GNN_LSTM_pfxf,MzWarAlNiepo,14,4.8369,7.1578,0.4475,-0.6641,0.7932
C3_GNN_LSTM_pfxf,MzWarAlNiepo,15,4.8083,7.1347,0.4507,-0.8033,0.7921
C3_GNN_LSTM_pfxf,MzWarAlNiepo,16,4.854,7.1925,0.4421,-0.6716,0.7935
C3_GNN_LSTM_pfxf,MzWarAlNiepo,17,4.8551,7.1895,0.4427,-0.531,0.7927
C3_GNN_LSTM_pfxf,MzWarAlNiepo,18,4.8233,7.185,0.4423,-0.6232,0.7923
C3_GNN_LSTM_pfxf,MzWarAlNiepo,19,4.8584,7.1804,0.4414,-0.1318,0.7996
C3_GNN_LSTM_pfxf,MzWarAlNiepo,20,4.8204,7.1273,0.4482,-0.3026,0.7997
C3_GNN_LSTM_pfxf,MzWarAlNiepo,21,4.7858,7.1032,0.4516,-0.5262,0.7999
C3_GNN_LSTM_pfxf,MzWarAlNiepo,22,4.8038,7.1338,0.4469,-0.3001,0.8042
C3_GNN_LSTM_pfxf,MzWarAlNiepo,23,4.8191,7.1069,0.4516,-0.1563,0.8078
C3_GNN_LSTM_pfxf,MzWarAlNiepo,24,4.8214,7.1031,0.4547,-0.1692,0.8062
