Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_Stacking_pfxf,MzWarAlNiepo,1,1.3695,2.2237,0.9457,-0.1415,0.9859
C3_Stacking_pfxf,MzWarAlNiepo,2,2.1475,3.386,0.8739,-0.1973,0.9653
C3_Stacking_pfxf,MzWarAlNiepo,3,2.7118,4.2225,0.8038,-0.1766,0.9442
C3_Stacking_pfxf,MzWarAlNiepo,4,3.0941,4.7672,0.7499,-0.1903,0.9257
C3_Stacking_pfxf,MzWarAlNiepo,5,3.416,5.2114,0.7007,-0.1191,0.9094
C3_Stacking_pfxf,MzWarAlNiepo,6,3.6462,5.5264,0.6632,-0.0694,0.8946
C3_Stacking_pfxf,MzWarAlNiepo,7,3.8211,5.8194,0.6264,-0.0916,0.8795
C3_Stacking_pfxf,MzWarAlNiepo,8,3.9446,5.9973,0.603,0.0239,0.876
C3_Stacking_pfxf,MzWarAlNiepo,9,4.0239,6.0682,0.5934,0.1143,0.8751
C3_Stacking_pfxf,MzWarAlNiepo,10,4.2021,6.4116,0.5457,0.1584,0.8611
C3_Stacking_pfxf,MzWarAlNiepo,11,4.1978,6.3267,0.5579,0.1498,0.8594
C3_Stacking_pfxf,MzWarAlNiepo,12,4.3127,6.4425,0.542,0.0636,0.8451
C3_Stacking_pfxf,MzWarAlNiepo,13,4.4238,6.6934,0.5062,0.0743,0.8314
C3_Stacking_pfxf,MzWarAlNiepo,14,4.4659,6.7157,0.504,0.0898,0.8289
C3_Stacking_pfxf,MzWarAlNiepo,15,4.5717,6.867,0.4819,0.2406,0.8242
C3_Stacking_pfxf,MzWarAlNiepo,16,4.5479,6.8043,0.4915,0.1651,0.8253
C3_Stacking_pfxf,MzWarAlNiepo,17,4.5163,6.7533,0.4987,0.2118,0.8321
C3_Stacking_pfxf,MzWarAlNiepo,18,4.5489,6.7732,0.4953,0.2951,0.832
C3_Stacking_pfxf,MzWarAlNiepo,19,4.5678,6.8226,0.4876,0.2123,0.826
C3_Stacking_pfxf,MzWarAlNiepo,20,4.5995,6.895,0.4767,0.2948,0.8237
C3_Stacking_pfxf,MzWarAlNiepo,21,4.634,6.8817,0.4792,0.2831,0.8237
C3_Stacking_pfxf,MzWarAlNiepo,22,4.6808,7.0386,0.4553,0.3677,0.8198
C3_Stacking_pfxf,MzWarAlNiepo,23,4.6823,7.0127,0.459,0.366,0.8185
C3_Stacking_pfxf,MzWarAlNiepo,24,4.7345,7.1843,0.4331,0.3419,0.8064
