Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C2_CNN_LSTM_pfxf,MzWarBajkowa,1,2.7347,3.9834,0.8609,0.4691,0.9624
C2_CNN_LSTM_pfxf,MzWarBajkowa,2,3.1874,4.6926,0.8068,0.6135,0.9469
C2_CNN_LSTM_pfxf,MzWarBajkowa,3,3.5639,5.3066,0.7527,0.5864,0.9302
C2_CNN_LSTM_pfxf,MzWarBajkowa,4,4.1154,6.1057,0.6715,1.2263,0.9105
C2_CNN_LSTM_pfxf,MzWarBajkowa,5,4.4654,6.6754,0.6063,1.5803,0.8951
C2_CNN_LSTM_pfxf,MzWarBajkowa,6,4.6819,7.0585,0.5582,1.6843,0.8837
C2_CNN_LSTM_pfxf,MzWarBajkowa,7,4.8655,7.4383,0.5077,2.0177,0.8754
C2_CNN_LSTM_pfxf,MzWarBajkowa,8,4.712,7.2338,0.532,1.5247,0.8767
C2_CNN_LSTM_pfxf,MzWarBajkowa,9,4.5604,7.0232,0.5574,0.9518,0.8773
C2_CNN_LSTM_pfxf,MzWarBajkowa,10,4.4803,6.9047,0.5719,0.767,0.88
C2_CNN_LSTM_pfxf,MzWarBajkowa,11,4.6148,7.0117,0.5587,1.1688,0.8799
C2_CNN_LSTM_pfxf,MzWarBajkowa,12,4.7341,7.1506,0.5418,1.5296,0.8795
C2_CNN_LSTM_pfxf,MzWarBajkowa,13,4.7132,7.1412,0.5443,1.4285,0.8808
C2_CNN_LSTM_pfxf,MzWarBajkowa,14,4.7293,7.1898,0.5396,1.3788,0.8801
C2_CNN_LSTM_pfxf,MzWarBajkowa,15,4.6461,7.136,0.5486,0.9807,0.8807
C2_CNN_LSTM_pfxf,MzWarBajkowa,16,4.6205,7.1101,0.5531,0.7849,0.8802
C2_CNN_LSTM_pfxf,MzWarBajkowa,17,4.7783,7.3264,0.5256,1.2388,0.8783
C2_CNN_LSTM_pfxf,MzWarBajkowa,18,4.7409,7.2458,0.5353,1.1497,0.8799
C2_CNN_LSTM_pfxf,MzWarBajkowa,19,4.7913,7.3004,0.528,1.2165,0.8792
C2_CNN_LSTM_pfxf,MzWarBajkowa,20,4.8784,7.429,0.5121,1.4391,0.878
C2_CNN_LSTM_pfxf,MzWarBajkowa,21,4.8085,7.275,0.533,1.2992,0.8811
C2_CNN_LSTM_pfxf,MzWarBajkowa,22,4.7327,7.1883,0.5447,1.1316,0.8829
C2_CNN_LSTM_pfxf,MzWarBajkowa,23,4.8495,7.4088,0.5164,1.5223,0.8803
C2_CNN_LSTM_pfxf,MzWarBajkowa,24,4.9173,7.5983,0.4906,1.7064,0.8764
