Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzWarBajkowa,1,3.681,5.5556,0.7311,0.2106,0.9059
C3_GNN_LSTM_pfxf,MzWarBajkowa,2,3.8984,5.8461,0.7005,0.2208,0.8948
C3_GNN_LSTM_pfxf,MzWarBajkowa,3,4.0389,6.0383,0.6779,0.2437,0.8879
C3_GNN_LSTM_pfxf,MzWarBajkowa,4,4.1987,6.2047,0.6579,0.7172,0.888
C3_GNN_LSTM_pfxf,MzWarBajkowa,5,4.331,6.3642,0.6377,0.8833,0.8863
C3_GNN_LSTM_pfxf,MzWarBajkowa,6,4.6326,6.7474,0.592,1.572,0.8809
C3_GNN_LSTM_pfxf,MzWarBajkowa,7,4.5412,6.6658,0.6,1.1019,0.8792
C3_GNN_LSTM_pfxf,MzWarBajkowa,8,4.5738,6.7347,0.5902,0.964,0.8758
C3_GNN_LSTM_pfxf,MzWarBajkowa,9,4.5126,6.6989,0.5939,0.653,0.8743
C3_GNN_LSTM_pfxf,MzWarBajkowa,10,4.4872,6.7085,0.5952,0.4962,0.8718
C3_GNN_LSTM_pfxf,MzWarBajkowa,11,4.5094,6.7623,0.591,0.4682,0.8702
C3_GNN_LSTM_pfxf,MzWarBajkowa,12,4.4967,6.7556,0.5948,0.4581,0.8708
C3_GNN_LSTM_pfxf,MzWarBajkowa,13,4.5318,6.8049,0.5912,0.466,0.868
C3_GNN_LSTM_pfxf,MzWarBajkowa,14,4.7324,7.0039,0.5689,1.08,0.8685
C3_GNN_LSTM_pfxf,MzWarBajkowa,15,4.7014,7.0118,0.5694,0.9557,0.8679
C3_GNN_LSTM_pfxf,MzWarBajkowa,16,4.5684,6.9037,0.5834,0.4153,0.8681
C3_GNN_LSTM_pfxf,MzWarBajkowa,17,4.6324,6.9208,0.5813,0.7613,0.8698
C3_GNN_LSTM_pfxf,MzWarBajkowa,18,4.7309,7.0318,0.5668,1.1351,0.8706
C3_GNN_LSTM_pfxf,MzWarBajkowa,19,5.1378,7.4722,0.5101,2.2738,0.866
C3_GNN_LSTM_pfxf,MzWarBajkowa,20,5.1004,7.5124,0.5056,2.2762,0.8657
C3_GNN_LSTM_pfxf,MzWarBajkowa,21,4.9667,7.4249,0.5179,1.9408,0.8667
C3_GNN_LSTM_pfxf,MzWarBajkowa,22,5.0796,7.5497,0.5012,2.2769,0.8651
C3_GNN_LSTM_pfxf,MzWarBajkowa,23,4.9587,7.3913,0.5217,2.0516,0.8688
C3_GNN_LSTM_pfxf,MzWarBajkowa,24,5.0708,7.6266,0.489,2.2569,0.8648
