Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_Stacking_pfxf,MzWarBajkowa,1,1.5075,2.6111,0.9402,-0.1524,0.9844
C3_Stacking_pfxf,MzWarBajkowa,2,2.314,3.766,0.8755,-0.2418,0.9662
C3_Stacking_pfxf,MzWarBajkowa,3,2.8676,4.5508,0.8181,-0.1953,0.9489
C3_Stacking_pfxf,MzWarBajkowa,4,3.2768,5.1827,0.7633,-0.1226,0.932
C3_Stacking_pfxf,MzWarBajkowa,5,3.5595,5.5821,0.7247,-0.0581,0.9192
C3_Stacking_pfxf,MzWarBajkowa,6,3.7911,5.9393,0.6872,0.047,0.9076
C3_Stacking_pfxf,MzWarBajkowa,7,3.9897,6.225,0.6553,0.3042,0.9002
C3_Stacking_pfxf,MzWarBajkowa,8,4.2086,6.5694,0.6142,0.5444,0.8881
C3_Stacking_pfxf,MzWarBajkowa,9,4.2944,6.6235,0.6066,0.631,0.8857
C3_Stacking_pfxf,MzWarBajkowa,10,4.3905,6.8305,0.5814,0.6131,0.8766
C3_Stacking_pfxf,MzWarBajkowa,11,4.5369,7.0683,0.552,0.898,0.8715
C3_Stacking_pfxf,MzWarBajkowa,12,4.6348,7.0943,0.5495,1.0241,0.8689
C3_Stacking_pfxf,MzWarBajkowa,13,4.7152,7.2996,0.5245,1.2198,0.8654
C3_Stacking_pfxf,MzWarBajkowa,14,4.8047,7.4221,0.5102,1.3445,0.86
C3_Stacking_pfxf,MzWarBajkowa,15,4.8512,7.5606,0.4942,1.3336,0.856
C3_Stacking_pfxf,MzWarBajkowa,16,4.8623,7.5085,0.5025,1.3215,0.8566
C3_Stacking_pfxf,MzWarBajkowa,17,4.9202,7.6406,0.4851,1.3135,0.852
C3_Stacking_pfxf,MzWarBajkowa,18,4.9348,7.6294,0.4858,1.3695,0.8535
C3_Stacking_pfxf,MzWarBajkowa,19,4.9265,7.6246,0.4862,1.3362,0.8552
C3_Stacking_pfxf,MzWarBajkowa,20,4.9333,7.5269,0.5002,1.4567,0.8591
C3_Stacking_pfxf,MzWarBajkowa,21,4.8972,7.48,0.5071,1.3371,0.8591
C3_Stacking_pfxf,MzWarBajkowa,22,4.9544,7.8515,0.4568,1.2521,0.8471
C3_Stacking_pfxf,MzWarBajkowa,23,4.8767,7.607,0.4893,1.2288,0.8514
C3_Stacking_pfxf,MzWarBajkowa,24,4.8726,7.6633,0.4804,1.136,0.8478
