Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzWarChrosci,1,2.7958,4.1508,0.7591,-0.509,0.9198
C3_GNN_LSTM_pfxf,MzWarChrosci,2,3.0801,4.5398,0.7106,-0.3034,0.903
C3_GNN_LSTM_pfxf,MzWarChrosci,3,3.3477,4.9131,0.6595,-0.2402,0.883
C3_GNN_LSTM_pfxf,MzWarChrosci,4,3.5808,5.2003,0.6169,0.0227,0.8686
C3_GNN_LSTM_pfxf,MzWarChrosci,5,3.7913,5.416,0.5836,0.338,0.8589
C3_GNN_LSTM_pfxf,MzWarChrosci,6,3.9722,5.6135,0.5517,0.5689,0.8495
C3_GNN_LSTM_pfxf,MzWarChrosci,7,4.141,5.8209,0.5173,0.7952,0.8409
C3_GNN_LSTM_pfxf,MzWarChrosci,8,4.2255,5.9258,0.4983,0.8763,0.8372
C3_GNN_LSTM_pfxf,MzWarChrosci,9,4.3062,6.0156,0.4821,1.0088,0.8354
C3_GNN_LSTM_pfxf,MzWarChrosci,10,4.2045,5.9142,0.4993,0.7204,0.8364
C3_GNN_LSTM_pfxf,MzWarChrosci,11,4.1052,5.8014,0.5187,0.4766,0.8402
C3_GNN_LSTM_pfxf,MzWarChrosci,12,4.1094,5.8089,0.5188,0.4369,0.8396
C3_GNN_LSTM_pfxf,MzWarChrosci,13,4.0441,5.7426,0.5303,0.2693,0.8407
C3_GNN_LSTM_pfxf,MzWarChrosci,14,3.9718,5.6513,0.5447,0.0803,0.8444
C3_GNN_LSTM_pfxf,MzWarChrosci,15,3.9024,5.5931,0.5537,-0.0809,0.8453
C3_GNN_LSTM_pfxf,MzWarChrosci,16,3.9418,5.6255,0.5485,0.0937,0.8482
C3_GNN_LSTM_pfxf,MzWarChrosci,17,3.9262,5.5871,0.5546,0.1631,0.8509
C3_GNN_LSTM_pfxf,MzWarChrosci,18,3.9107,5.5675,0.5569,0.1896,0.8529
C3_GNN_LSTM_pfxf,MzWarChrosci,19,3.9253,5.5718,0.5555,0.5113,0.8588
C3_GNN_LSTM_pfxf,MzWarChrosci,20,3.8793,5.5141,0.5646,0.3836,0.86
C3_GNN_LSTM_pfxf,MzWarChrosci,21,3.8215,5.4601,0.5738,0.2469,0.862
C3_GNN_LSTM_pfxf,MzWarChrosci,22,3.8504,5.4943,0.5698,0.4428,0.8653
C3_GNN_LSTM_pfxf,MzWarChrosci,23,3.9174,5.5352,0.5654,0.5742,0.8653
C3_GNN_LSTM_pfxf,MzWarChrosci,24,3.9319,5.5225,0.5684,0.6629,0.8651
