Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_Stacking_pfxf,MzWarChrosci,1,1.2726,1.9591,0.9457,0.2836,0.986
C3_Stacking_pfxf,MzWarChrosci,2,2.1053,3.0218,0.8708,0.6751,0.9658
C3_Stacking_pfxf,MzWarChrosci,3,2.74,3.7883,0.7968,1.0483,0.9448
C3_Stacking_pfxf,MzWarChrosci,4,3.2446,4.3841,0.7274,1.3589,0.9244
C3_Stacking_pfxf,MzWarChrosci,5,3.6476,4.8575,0.6647,1.5523,0.9062
C3_Stacking_pfxf,MzWarChrosci,6,3.9876,5.2456,0.6081,1.8427,0.8894
C3_Stacking_pfxf,MzWarChrosci,7,4.2333,5.5445,0.5615,1.9792,0.8747
C3_Stacking_pfxf,MzWarChrosci,8,4.4747,5.8064,0.5187,2.2311,0.8623
C3_Stacking_pfxf,MzWarChrosci,9,4.647,5.9906,0.4871,2.4045,0.8534
C3_Stacking_pfxf,MzWarChrosci,10,4.7872,6.1367,0.4618,2.4954,0.8437
C3_Stacking_pfxf,MzWarChrosci,11,4.966,6.3434,0.4255,2.6842,0.8323
C3_Stacking_pfxf,MzWarChrosci,12,5.0736,6.4723,0.4026,2.779,0.827
C3_Stacking_pfxf,MzWarChrosci,13,5.1624,6.5632,0.3869,2.8832,0.8229
C3_Stacking_pfxf,MzWarChrosci,14,5.2619,6.7027,0.3621,3.0032,0.8165
C3_Stacking_pfxf,MzWarChrosci,15,5.2462,6.6738,0.3688,3.0147,0.8177
C3_Stacking_pfxf,MzWarChrosci,16,5.3384,6.7684,0.3511,3.1264,0.8118
C3_Stacking_pfxf,MzWarChrosci,17,5.3572,6.8089,0.3435,3.1558,0.8091
C3_Stacking_pfxf,MzWarChrosci,18,5.3478,6.8311,0.3387,3.1109,0.8055
C3_Stacking_pfxf,MzWarChrosci,19,5.369,6.8454,0.3356,3.1879,0.8061
C3_Stacking_pfxf,MzWarChrosci,20,5.4072,6.8864,0.3277,3.169,0.8007
C3_Stacking_pfxf,MzWarChrosci,21,5.4742,6.964,0.3125,3.2933,0.7992
C3_Stacking_pfxf,MzWarChrosci,22,5.4091,6.8622,0.3325,3.2501,0.8015
C3_Stacking_pfxf,MzWarChrosci,23,5.4141,6.8607,0.3325,3.2659,0.8022
C3_Stacking_pfxf,MzWarChrosci,24,5.4353,6.8861,0.3266,3.2961,0.8005
