Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzWarWokalna,1,2.8679,4.116,0.7802,-1.059,0.9341
C3_GNN_LSTM_pfxf,MzWarWokalna,2,3.1635,4.5443,0.7315,-1.0655,0.9187
C3_GNN_LSTM_pfxf,MzWarWokalna,3,3.3505,4.8501,0.6934,-0.9374,0.9094
C3_GNN_LSTM_pfxf,MzWarWokalna,4,3.4713,5.002,0.6728,-0.5687,0.9048
C3_GNN_LSTM_pfxf,MzWarWokalna,5,3.6026,5.235,0.6411,-0.3667,0.8967
C3_GNN_LSTM_pfxf,MzWarWokalna,6,3.7131,5.4147,0.6159,-0.2281,0.89
C3_GNN_LSTM_pfxf,MzWarWokalna,7,3.8025,5.5458,0.5965,-0.2738,0.8837
C3_GNN_LSTM_pfxf,MzWarWokalna,8,3.8653,5.6324,0.5831,-0.1099,0.8792
C3_GNN_LSTM_pfxf,MzWarWokalna,9,3.8966,5.6651,0.5775,-0.3962,0.8729
C3_GNN_LSTM_pfxf,MzWarWokalna,10,3.9847,5.842,0.5509,-0.2163,0.8674
C3_GNN_LSTM_pfxf,MzWarWokalna,11,4.0142,5.8974,0.5436,-0.4263,0.8622
C3_GNN_LSTM_pfxf,MzWarWokalna,12,4.0258,5.9351,0.5389,-0.4311,0.8598
C3_GNN_LSTM_pfxf,MzWarWokalna,13,4.054,5.9736,0.534,-0.8508,0.8525
C3_GNN_LSTM_pfxf,MzWarWokalna,14,4.0561,5.9967,0.5312,-0.9049,0.8499
C3_GNN_LSTM_pfxf,MzWarWokalna,15,4.0785,6.0268,0.5279,-0.9536,0.8494
C3_GNN_LSTM_pfxf,MzWarWokalna,16,4.065,6.0399,0.5274,-0.6524,0.853
C3_GNN_LSTM_pfxf,MzWarWokalna,17,4.1144,6.131,0.5134,-0.3351,0.8515
C3_GNN_LSTM_pfxf,MzWarWokalna,18,4.1759,6.1953,0.5024,0.2502,0.8556
C3_GNN_LSTM_pfxf,MzWarWokalna,19,4.2472,6.3415,0.4775,0.4627,0.8534
C3_GNN_LSTM_pfxf,MzWarWokalna,20,4.3021,6.5065,0.4492,0.6054,0.851
C3_GNN_LSTM_pfxf,MzWarWokalna,21,4.1967,6.3769,0.4705,0.0246,0.8527
C3_GNN_LSTM_pfxf,MzWarWokalna,22,4.2226,6.5512,0.4405,-0.2341,0.8446
C3_GNN_LSTM_pfxf,MzWarWokalna,23,4.2991,6.7295,0.4099,0.1569,0.8425
C3_GNN_LSTM_pfxf,MzWarWokalna,24,4.3232,6.8099,0.3957,-0.3708,0.8365
