Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_Stacking_pfxf,MzWarWokalna,1,1.2495,1.9307,0.9524,0.0801,0.9877
C3_Stacking_pfxf,MzWarWokalna,2,2.0958,3.127,0.8751,0.2958,0.9672
C3_Stacking_pfxf,MzWarWokalna,3,2.7062,3.9337,0.8023,0.4502,0.9462
C3_Stacking_pfxf,MzWarWokalna,4,3.1771,4.5226,0.7384,0.5641,0.9258
C3_Stacking_pfxf,MzWarWokalna,5,3.5097,4.9148,0.6904,0.5918,0.9085
C3_Stacking_pfxf,MzWarWokalna,6,3.8029,5.277,0.6425,0.7784,0.8929
C3_Stacking_pfxf,MzWarWokalna,7,3.9904,5.4751,0.6148,0.8667,0.8821
C3_Stacking_pfxf,MzWarWokalna,8,4.187,5.7036,0.5818,1.0433,0.8721
C3_Stacking_pfxf,MzWarWokalna,9,4.3187,5.8483,0.5598,1.1319,0.8634
C3_Stacking_pfxf,MzWarWokalna,10,4.4476,5.96,0.5429,1.2434,0.8583
C3_Stacking_pfxf,MzWarWokalna,11,4.5618,6.1006,0.5226,1.3023,0.8483
C3_Stacking_pfxf,MzWarWokalna,12,4.6486,6.2067,0.5068,1.3135,0.8422
C3_Stacking_pfxf,MzWarWokalna,13,4.7204,6.2991,0.4929,1.2579,0.8344
C3_Stacking_pfxf,MzWarWokalna,14,4.7587,6.3537,0.4851,1.2915,0.8306
C3_Stacking_pfxf,MzWarWokalna,15,4.7883,6.3824,0.4812,1.3373,0.8304
C3_Stacking_pfxf,MzWarWokalna,16,4.8073,6.405,0.4776,1.3706,0.8294
C3_Stacking_pfxf,MzWarWokalna,17,4.8321,6.4613,0.4699,1.37,0.825
C3_Stacking_pfxf,MzWarWokalna,18,4.8822,6.5272,0.4585,1.3551,0.8206
C3_Stacking_pfxf,MzWarWokalna,19,4.8435,6.493,0.4633,1.3346,0.8207
C3_Stacking_pfxf,MzWarWokalna,20,4.8605,6.5294,0.4576,1.3872,0.82
C3_Stacking_pfxf,MzWarWokalna,21,4.8808,6.5527,0.4547,1.3503,0.8172
C3_Stacking_pfxf,MzWarWokalna,22,4.879,6.546,0.4563,1.3438,0.8173
C3_Stacking_pfxf,MzWarWokalna,23,4.8873,6.5689,0.4539,1.306,0.8157
C3_Stacking_pfxf,MzWarWokalna,24,4.9177,6.6108,0.447,1.3715,0.8132
