Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzWarWokalna,1,2.8679,4.116,0.7802,-1.059,0.9341
C3_GNN_LSTM_pfxf,MzWarWokalna,2,3.1635,4.5443,0.7315,-1.0655,0.9187
C3_GNN_LSTM_pfxf,MzWarWokalna,3,3.3505,4.8501,0.6934,-0.9374,0.9094
C3_GNN_LSTM_pfxf,MzWarWokalna,4,3.4713,5.002,0.6728,-0.5687,0.9048
C3_GNN_LSTM_pfxf,MzWarWokalna,5,3.6026,5.235,0.6411,-0.3667,0.8967
C3_GNN_LSTM_pfxf,MzWarWokalna,6,3.7131,5.4147,0.6159,-0.2281,0.89
C3_GNN_LSTM_pfxf,MzWarWokalna,7,3.8025,5.5458,0.5965,-0.2738,0.8837
C3_GNN_LSTM_pfxf,MzWarWokalna,8,3.8653,5.6324,0.5831,-0.1099,0.8792
C3_GNN_LSTM_pfxf,MzWarWokalna,9,3.8966,5.6651,0.5775,-0.3962,0.8729
C3_GNN_LSTM_pfxf,MzWarWokalna,10,3.9847,5.842,0.5509,-0.2163,0.8674
C3_GNN_LSTM_pfxf,MzWarWokalna,11,4.0142,5.8974,0.5436,-0.4263,0.8622
C3_GNN_LSTM_pfxf,MzWarWokalna,12,4.0258,5.9351,0.5389,-0.4311,0.8598
C3_GNN_LSTM_pfxf,MzWarWokalna,13,4.054,5.9736,0.534,-0.8508,0.8525
C3_GNN_LSTM_pfxf,MzWarWokalna,14,4.0561,5.9967,0.5312,-0.9049,0.8499
C3_GNN_LSTM_pfxf,MzWarWokalna,15,4.0785,6.0268,0.5279,-0.9536,0.8494
C3_GNN_LSTM_pfxf,MzWarWokalna,16,4.065,6.0399,0.5274,-0.6524,0.853
C3_GNN_LSTM_pfxf,MzWarWokalna,17,4.1144,6.131,0.5134,-0.3351,0.8515
C3_GNN_LSTM_pfxf,MzWarWokalna,18,4.1759,6.1953,0.5024,0.2502,0.8556
C3_GNN_LSTM_pfxf,MzWarWokalna,19,4.2472,6.3415,0.4775,0.4627,0.8534
C3_GNN_LSTM_pfxf,MzWarWokalna,20,4.3021,6.5065,0.4492,0.6054,0.851
C3_GNN_LSTM_pfxf,MzWarWokalna,21,4.1967,6.3769,0.4705,0.0246,0.8527
C3_GNN_LSTM_pfxf,MzWarWokalna,22,4.2226,6.5512,0.4405,-0.2341,0.8446
C3_GNN_LSTM_pfxf,MzWarWokalna,23,4.2991,6.7295,0.4099,0.1569,0.8425
C3_GNN_LSTM_pfxf,MzWarWokalna,24,4.3232,6.8099,0.3957,-0.3708,0.8365
C3_Stacking_pfxf,MzWarWokalna,1,1.1936,1.893,0.9543,-0.1408,0.9883
C3_Stacking_pfxf,MzWarWokalna,2,1.9501,3.0377,0.8821,-0.2459,0.9679
C3_Stacking_pfxf,MzWarWokalna,3,2.444,3.6964,0.8255,-0.1468,0.9525
C3_Stacking_pfxf,MzWarWokalna,4,2.7746,4.1624,0.7784,-0.1506,0.9382
C3_Stacking_pfxf,MzWarWokalna,5,3.0317,4.5008,0.7404,-0.1594,0.9253
C3_Stacking_pfxf,MzWarWokalna,6,3.2506,4.7865,0.7059,-0.1275,0.9135
C3_Stacking_pfxf,MzWarWokalna,7,3.417,5.1485,0.6594,-0.1559,0.8952
C3_Stacking_pfxf,MzWarWokalna,8,3.5289,5.2958,0.6394,-0.1182,0.8884
C3_Stacking_pfxf,MzWarWokalna,9,3.6908,5.528,0.6067,0.0585,0.8803
C3_Stacking_pfxf,MzWarWokalna,10,3.7513,5.5497,0.6037,0.0827,0.8775
C3_Stacking_pfxf,MzWarWokalna,11,3.9257,5.8942,0.5543,0.2972,0.8641
C3_Stacking_pfxf,MzWarWokalna,12,4.0052,5.9905,0.5405,0.3759,0.8598
C3_Stacking_pfxf,MzWarWokalna,13,4.0272,5.9462,0.5481,0.5396,0.8638
C3_Stacking_pfxf,MzWarWokalna,14,4.1233,6.148,0.5179,0.6264,0.8576
C3_Stacking_pfxf,MzWarWokalna,15,4.0923,6.0764,0.5297,0.5927,0.86
C3_Stacking_pfxf,MzWarWokalna,16,4.1583,6.2407,0.5041,0.5591,0.8476
C3_Stacking_pfxf,MzWarWokalna,17,4.1718,6.2492,0.5042,0.6225,0.8486
C3_Stacking_pfxf,MzWarWokalna,18,4.206,6.2899,0.4972,0.6242,0.847
C3_Stacking_pfxf,MzWarWokalna,19,4.273,6.4492,0.4705,0.727,0.8422
C3_Stacking_pfxf,MzWarWokalna,20,4.289,6.4012,0.4787,0.6044,0.8379
C3_Stacking_pfxf,MzWarWokalna,21,4.289,6.3893,0.4815,0.4631,0.8335
C3_Stacking_pfxf,MzWarWokalna,22,4.3173,6.606,0.4463,0.6532,0.832
C3_Stacking_pfxf,MzWarWokalna,23,4.2422,6.3382,0.4915,0.4786,0.8393
C3_Stacking_pfxf,MzWarWokalna,24,4.2774,6.3901,0.4833,0.371,0.8329
