Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C1_XGBoost_pfxf,MzWarChrosci,1,1.134,1.8412,0.952,0.0596,0.9876
C1_HGB_pfxf,MzWarChrosci,1,1.1327,1.8346,0.9524,0.0613,0.9877
C1_XGBoost_pfxf,MzWarChrosci,2,1.8004,2.7916,0.8897,0.2304,0.9706
C1_HGB_pfxf,MzWarChrosci,2,1.8059,2.789,0.8899,0.2477,0.9709
C1_XGBoost_pfxf,MzWarChrosci,3,2.2654,3.4179,0.8346,0.4064,0.9551
C1_HGB_pfxf,MzWarChrosci,3,2.2727,3.427,0.8337,0.4267,0.9548
C1_XGBoost_pfxf,MzWarChrosci,4,2.586,3.8658,0.788,0.6512,0.9422
C1_HGB_pfxf,MzWarChrosci,4,2.6124,3.9102,0.7831,0.6535,0.9408
C1_XGBoost_pfxf,MzWarChrosci,5,2.863,4.2158,0.7474,0.8088,0.9301
C1_HGB_pfxf,MzWarChrosci,5,2.8935,4.2773,0.74,0.7547,0.9278
C1_XGBoost_pfxf,MzWarChrosci,6,3.0956,4.5341,0.7072,0.955,0.918
C1_HGB_pfxf,MzWarChrosci,6,3.1078,4.5597,0.7039,0.9137,0.9166
C1_XGBoost_pfxf,MzWarChrosci,7,3.2803,4.7873,0.6731,1.0593,0.9078
C1_HGB_pfxf,MzWarChrosci,7,3.3049,4.824,0.668,1.071,0.9067
C1_XGBoost_pfxf,MzWarChrosci,8,3.4324,4.9691,0.6475,1.2172,0.9011
C1_HGB_pfxf,MzWarChrosci,8,3.4683,5.0279,0.6391,1.2513,0.8993
C1_XGBoost_pfxf,MzWarChrosci,9,3.6069,5.2201,0.6105,1.3992,0.8922
C1_HGB_pfxf,MzWarChrosci,9,3.6325,5.2332,0.6086,1.4171,0.8904
C1_XGBoost_pfxf,MzWarChrosci,10,3.767,5.4356,0.5777,1.5707,0.8845
C1_HGB_pfxf,MzWarChrosci,10,3.7452,5.3955,0.584,1.5143,0.8858
C1_XGBoost_pfxf,MzWarChrosci,11,3.8314,5.5087,0.5667,1.6289,0.88
C1_HGB_pfxf,MzWarChrosci,11,3.843,5.5199,0.565,1.6065,0.8788
C1_XGBoost_pfxf,MzWarChrosci,12,3.9184,5.6049,0.552,1.674,0.8757
C1_HGB_pfxf,MzWarChrosci,12,3.9273,5.6691,0.5417,1.6678,0.8738
C1_XGBoost_pfxf,MzWarChrosci,13,3.9496,5.6626,0.5436,1.6549,0.8717
C1_HGB_pfxf,MzWarChrosci,13,3.9671,5.6783,0.5411,1.6378,0.8716
C1_XGBoost_pfxf,MzWarChrosci,14,4.0518,5.7892,0.5242,1.7615,0.8674
C1_HGB_pfxf,MzWarChrosci,14,4.0527,5.7594,0.529,1.7337,0.8682
C1_XGBoost_pfxf,MzWarChrosci,15,4.0779,5.8238,0.5193,1.7583,0.8643
C1_HGB_pfxf,MzWarChrosci,15,4.1066,5.8013,0.523,1.8338,0.866
C1_XGBoost_pfxf,MzWarChrosci,16,4.1681,5.9357,0.5009,1.8697,0.8605
C1_HGB_pfxf,MzWarChrosci,16,4.1865,5.8966,0.5075,1.8725,0.8605
