Model,Horizon,MAE,RMSE,R2,MBE,IA
B2_CNN_LSTM_pfx,1,2.3955,3.3464,0.8412,-0.1222,0.9585
B2_CNN_LSTM_pfx,2,2.7517,3.933,0.7806,0.222,0.9436
B2_CNN_LSTM_pfx,3,2.9275,4.2383,0.745,0.2067,0.9333
B2_CNN_LSTM_pfx,4,3.1758,4.6126,0.6974,0.5776,0.9222
B2_CNN_LSTM_pfx,5,3.3808,4.9196,0.655,0.7541,0.911
B2_CNN_LSTM_pfx,6,3.416,4.9766,0.6462,0.5698,0.9061
B2_CNN_LSTM_pfx,7,3.4731,5.0816,0.6308,0.5448,0.9006
B2_CNN_LSTM_pfx,8,3.6769,5.3841,0.5851,0.9089,0.8931
B2_CNN_LSTM_pfx,9,3.7395,5.5185,0.5636,0.9561,0.8886
B2_CNN_LSTM_pfx,10,3.8904,5.7528,0.5257,1.263,0.8821
B2_CNN_LSTM_pfx,11,4.0197,5.946,0.4937,1.5077,0.8763
B2_CNN_LSTM_pfx,12,4.111,6.0656,0.4737,1.6949,0.8719
B2_CNN_LSTM_pfx,13,3.9949,5.9091,0.5014,1.3698,0.8747
B2_CNN_LSTM_pfx,14,4.0639,6.0089,0.4856,1.6106,0.8712
B2_CNN_LSTM_pfx,15,4.2542,6.2678,0.4413,1.8603,0.8624
B2_CNN_LSTM_pfx,16,4.2294,6.2534,0.4441,1.9089,0.8624
B2_CNN_LSTM_pfx,17,4.2215,6.1833,0.4567,1.8269,0.8615
B2_CNN_LSTM_pfx,18,4.0714,6.0269,0.4837,1.5074,0.8651
B2_CNN_LSTM_pfx,19,4.0503,6.0448,0.4804,1.4311,0.865
B2_CNN_LSTM_pfx,20,4.0532,6.0073,0.4871,1.3236,0.8654
B2_CNN_LSTM_pfx,21,3.9836,6.0044,0.488,1.2392,0.866
B2_CNN_LSTM_pfx,22,3.9168,5.931,0.5013,1.13,0.867
B2_CNN_LSTM_pfx,23,3.9785,6.0478,0.4822,1.2678,0.8644
B2_CNN_LSTM_pfx,24,3.9773,6.0349,0.4842,1.318,0.8643
