Model,Horizon,MAE,RMSE,R2,MBE,IA
C1_XGBoost_full,1,1.1358,1.8379,0.9522,0.0463,0.9877
C1_XGBoost_full,2,1.8194,2.822,0.8873,0.235,0.97
C1_XGBoost_full,3,2.2707,3.4309,0.8333,0.4101,0.9546
C1_XGBoost_full,4,2.6063,3.8775,0.7867,0.6087,0.9412
C1_XGBoost_full,5,2.9256,4.2862,0.7389,0.9156,0.9278
C1_XGBoost_full,6,3.1747,4.6038,0.6982,1.106,0.9158
C1_XGBoost_full,7,3.3949,4.9214,0.6545,1.2148,0.9031
C1_XGBoost_full,8,3.5462,5.1191,0.6259,1.3625,0.8955
C1_XGBoost_full,9,3.6616,5.2697,0.6031,1.4814,0.8898
C1_XGBoost_full,10,3.7818,5.4432,0.5766,1.6173,0.8842
C1_XGBoost_full,11,3.8954,5.5584,0.5589,1.6714,0.8779
C1_XGBoost_full,12,3.9716,5.6657,0.5422,1.724,0.8722
C1_XGBoost_full,13,4.0277,5.7308,0.5326,1.748,0.8691
C1_XGBoost_full,14,4.0726,5.8248,0.5183,1.8066,0.8652
C1_XGBoost_full,15,4.169,5.9646,0.4958,1.8872,0.8599
C1_XGBoost_full,16,4.2327,6.0266,0.4855,1.9329,0.8563
C1_XGBoost_full,17,4.2828,6.1115,0.4711,2.0379,0.8536
C1_XGBoost_full,18,4.3127,6.14,0.4657,2.0624,0.8525
C1_XGBoost_full,19,4.3595,6.1795,0.4585,2.1234,0.8498
C1_XGBoost_full,20,4.4164,6.2881,0.4394,2.1934,0.8473
C1_XGBoost_full,21,4.4093,6.2521,0.4459,2.1785,0.8473
C1_XGBoost_full,22,4.4195,6.2215,0.4513,2.1912,0.8486
C1_XGBoost_full,23,4.3802,6.1916,0.4564,2.1516,0.8495
C1_XGBoost_full,24,4.3907,6.2369,0.4476,2.1104,0.8462
C1_HGB_full,1,1.1323,1.8409,0.9521,0.0443,0.9876
C1_HGB_full,2,1.7979,2.7812,0.8905,0.2198,0.9708
C1_HGB_full,3,2.2687,3.4299,0.8334,0.3951,0.9546
C1_HGB_full,4,2.6007,3.8782,0.7867,0.5456,0.9408
C1_HGB_full,5,2.8655,4.2228,0.7466,0.7183,0.9293
C1_HGB_full,6,3.0729,4.5341,0.7072,0.7457,0.9157
C1_HGB_full,7,3.2605,4.7628,0.6764,1.0159,0.9092
C1_HGB_full,8,3.4406,5.0126,0.6413,1.2313,0.9002
C1_HGB_full,9,3.5428,5.1182,0.6256,1.1645,0.8918
C1_HGB_full,10,3.6961,5.32,0.5955,1.3144,0.8839
C1_HGB_full,11,3.8357,5.4972,0.5685,1.6066,0.8805
C1_HGB_full,12,3.8999,5.6273,0.5484,1.6229,0.8748
C1_HGB_full,13,4.0556,5.7446,0.5303,1.6714,0.8665
C1_HGB_full,14,4.1099,5.8469,0.5146,1.7009,0.8617
C1_HGB_full,15,4.1718,5.9047,0.5059,1.779,0.8586
C1_HGB_full,16,4.2421,5.9435,0.4996,1.8836,0.8566
C1_HGB_full,17,4.2572,5.946,0.4993,1.8789,0.8557
C1_HGB_full,18,4.1523,5.8574,0.5138,1.7366,0.8554
C1_HGB_full,19,4.3549,6.0848,0.475,1.9408,0.8498
C1_HGB_full,20,4.5217,6.4222,0.4153,2.1838,0.8405
C1_HGB_full,21,4.3341,6.0677,0.4781,1.9516,0.8504
C1_HGB_full,22,4.3505,6.0659,0.4784,2.0179,0.8498
C1_HGB_full,23,4.3568,6.0881,0.4744,2.0017,0.8486
C1_HGB_full,24,4.3339,6.1099,0.4699,1.9172,0.8476
